Country,Country Code,Continent,Region,Year,Emissions_Per_Capita,Emissions
Afghanistan,4,Asia,Southern Asia,2020,15.872,0.165
Afghanistan,4,Asia,Southern Asia,2020,16.242,0.161
Afghanistan,4,Asia,Southern Asia,2020,16.414,0.133
Afghanistan,4,Asia,Southern Asia,2020,16.181,0.115
Afghanistan,4,Asia,Southern Asia,2020,16.697,0.165
Afghanistan,4,Asia,Southern Asia,2020,16.715,0.179
Afghanistan,4,Asia,Southern Asia,2020,17.529,0.244
Afghanistan,4,Asia,Southern Asia,2020,17.483,0.23
Afghanistan,4,Asia,Southern Asia,2020,19.043,0.226
Afghanistan,4,Asia,Southern Asia,2020,18.318,0.283
Afghanistan,4,Asia,Southern Asia,2020,18.82,0.384
Afghanistan,4,Asia,Southern Asia,2020,18.53,0.373
Afghanistan,4,Asia,Southern Asia,2020,16.963,0.38
Afghanistan,4,Asia,Southern Asia,2020,17.483,0.398
Afghanistan,4,Asia,Southern Asia,2020,17.927,0.455
Afghanistan,4,Asia,Southern Asia,2020,16.414,0.491
Afghanistan,4,Asia,Southern Asia,2020,16.321,0.445
Afghanistan,4,Asia,Southern Asia,2020,15.865,0.409
Afghanistan,4,Asia,Southern Asia,2020,16.532,0.384
Afghanistan,4,Asia,Southern Asia,2020,15.819,0.387
Afghanistan,4,Asia,Southern Asia,2020,16.97,0.355
Afghanistan,4,Asia,Southern Asia,2020,15.948,0.43
Afghanistan,4,Asia,Southern Asia,2020,15.535,0.366
Afghanistan,4,Asia,Southern Asia,2020,15.044,0.348
Afghanistan,4,Asia,Southern Asia,2020,14.585,0.394
Afghanistan,4,Asia,Southern Asia,2020,12.968,0.438
Afghanistan,4,Asia,Southern Asia,2020,13.8,0.481
Afghanistan,4,Asia,Southern Asia,2020,9.919,0.484
Afghanistan,4,Asia,Southern Asia,2020,10.178,0.463
Afghanistan,4,Asia,Southern Asia,2020,8.542,0.473
Afghanistan,4,Asia,Southern Asia,2020,8.316,0.556
Afghanistan,4,Asia,Southern Asia,2020,7.653,0.531
Afghanistan,4,Asia,Southern Asia,2020,7.513,0.484
Afghanistan,4,Asia,Southern Asia,2020,6.735,0.42
Afghanistan,4,Asia,Southern Asia,2020,7.61,0.484
Afghanistan,4,Asia,Southern Asia,2020,6.624,0.473
Afghanistan,4,Asia,Southern Asia,2020,7.402,0.498
Afghanistan,4,Asia,Southern Asia,2020,7.373,0.441
Afghanistan,4,Asia,Southern Asia,2020,7.115,0.484
Afghanistan,4,Asia,Southern Asia,2020,6.548,0.552
Afghanistan,4,Asia,Southern Asia,2020,7.262,0.663
Afghanistan,4,Asia,Southern Asia,2020,6.57,0.581
Afghanistan,4,Asia,Southern Asia,2020,5.849,0.466
Afghanistan,4,Asia,Southern Asia,2020,6.706,0.545
Afghanistan,4,Asia,Southern Asia,2020,6.021,0.534
Afghanistan,4,Asia,Southern Asia,2020,5.379,0.524
Afghanistan,4,Asia,Southern Asia,2020,4.988,0.448
Afghanistan,4,Asia,Southern Asia,2020,4.863,0.448
Afghanistan,4,Asia,Southern Asia,2020,4.827,0.567
Afghanistan,4,Asia,Southern Asia,2020,5.082,0.631
Afghanistan,4,Asia,Southern Asia,2020,3.712,0.631
Afghanistan,4,Asia,Southern Asia,2020,3.364,0.617
Afghanistan,4,Asia,Southern Asia,2020,3.672,0.613
Afghanistan,4,Asia,Southern Asia,2020,3.78,0.613
Afghanistan,4,Asia,Southern Asia,2020,3.138,0.498
Afghanistan,4,Asia,Southern Asia,2020,2.822,0.344
Afghanistan,4,Asia,Southern Asia,2020,3.03,0.351
Afghanistan,4,Asia,Southern Asia,2020,2.697,0.28
Afghanistan,4,Asia,Southern Asia,2020,2.679,0.355
Afghanistan,4,Asia,Southern Asia,2020,2.446,0.28
Afghanistan,4,Asia,Southern Asia,2020,2.704,0.308
Afghanistan,4,Asia,Southern Asia,2020,2.7,0.308
Afghanistan,4,Asia,Southern Asia,2020,2.668,0.29
Afghanistan,4,Asia,Southern Asia,2020,2.249,0.215
Afghanistan,4,Asia,Southern Asia,2020,2.012,0.165
Afghanistan,4,Asia,Southern Asia,2020,2.417,0.133
Afghanistan,4,Asia,Southern Asia,2020,1.983,0.086
Afghanistan,4,Asia,Southern Asia,2020,1.603,0.05
Afghanistan,4,Asia,Southern Asia,2020,1.359,0.065
Afghanistan,4,Asia,Southern Asia,2020,1.284,0.082
Afghanistan,4,Asia,Southern Asia,2020,1.27,0.097
Afghanistan,4,Asia,Southern Asia,2020,1.417,0.097
Afghanistan,4,Asia,Southern Asia,2020,1.094,0.086
Afghanistan,4,Asia,Southern Asia,2020,1.234,0.104
Afghanistan,4,Asia,Southern Asia,2020,1.234,0.104
Afghanistan,4,Asia,Southern Asia,2020,1.872,0.201
Afghanistan,4,Asia,Southern Asia,2020,1.85,0.215
Afghanistan,4,Asia,Southern Asia,2020,1.894,0.233
Afghanistan,4,Asia,Southern Asia,2020,1.772,0.233
Afghanistan,4,Asia,Southern Asia,2020,1.922,0.226
Afghanistan,4,Asia,Southern Asia,2020,1.944,0.226
Afghanistan,4,Asia,Southern Asia,2020,1.944,0.226
Afghanistan,4,Asia,Southern Asia,2020,1.183,0.111
Afghanistan,4,Asia,Southern Asia,2020,0.911,0.075
Afghanistan,4,Asia,Southern Asia,2020,1.201,0.072
Afghanistan,4,Asia,Southern Asia,2020,1.524,0.079
Afghanistan,4,Asia,Southern Asia,2020,1.23,0.054
